date,state,state_abbr,cases,deaths,pop,case_death,case_pop,death_pop,death_case
2020-03-12,Maine,ME,1,0,1341582,Inf,7.453886530976117e-7,0,0
2020-03-13,Maine,ME,2,0,1341582,Inf,1.4907773061952233e-6,0,0
2020-03-14,Maine,ME,3,0,1341582,Inf,2.2361659592928347e-6,0,0
2020-03-15,Maine,ME,12,0,1341582,Inf,8.944663837171339e-6,0,0
2020-03-16,Maine,ME,17,0,1341582,Inf,1.2671607102659397e-5,0,0
2020-03-17,Maine,ME,32,0,1341582,Inf,2.3852436899123573e-5,0,0
2020-03-18,Maine,ME,43,0,1341582,Inf,3.20517120831973e-5,0,0
2020-03-19,Maine,ME,52,0,1341582,Inf,3.87602099610758e-5,0,0
2020-03-20,Maine,ME,57,0,1341582,Inf,4.2487153226563865e-5,0,0
2020-03-21,Maine,ME,70,0,1341582,Inf,5.2177205716832815e-5,0,0
2020-03-22,Maine,ME,89,0,1341582,Inf,6.633959012568743e-5,0,0
2020-03-23,Maine,ME,107,0,1341582,Inf,7.975658588144445e-5,0,0
2020-03-24,Maine,ME,118,0,1341582,Inf,8.795586106551817e-5,0,0
2020-03-25,Maine,ME,142,0,1341582,Inf,1.0584518873986084e-4,0,0
2020-03-26,Maine,ME,155,0,1341582,Inf,1.155352412301298e-4,0,0
2020-03-27,Maine,ME,168,1,1341582,168,1.2522529372039875e-4,7.453886530976117e-7,0.005952380952380952
2020-03-28,Maine,ME,211,1,1341582,211,1.5727700580359604e-4,7.453886530976117e-7,0.004739336492890996
2020-03-29,Maine,ME,253,3,1341582,84.33333333333333,1.8858332923369573e-4,2.2361659592928347e-6,0.011857707509881424
2020-03-30,Maine,ME,275,3,1341582,91.66666666666667,2.049818796018432e-4,2.2361659592928347e-6,0.010909090909090908
2020-03-31,Maine,ME,303,5,1341582,60.6,2.2585276188857634e-4,3.7269432654880582e-6,0.0165016501650165
2020-04-01,Maine,ME,344,7,1341582,49.142857142857146,2.564136966655784e-4,5.217720571683281e-6,0.020348837209302324
2020-04-02,Maine,ME,376,7,1341582,53.714285714285715,2.80266133564702e-4,5.217720571683281e-6,0.018617021276595744
2020-04-03,Maine,ME,432,9,1341582,48,3.2200789813816824e-4,6.7084978778785045e-6,0.020833333333333332
2020-04-04,Maine,ME,456,10,1341582,45.6,3.398972258125109e-4,7.4538865309761165e-6,0.021929824561403508
2020-04-05,Maine,ME,470,10,1341582,47,3.503326669558775e-4,7.4538865309761165e-6,0.02127659574468085
2020-04-06,Maine,ME,499,10,1341582,49.9,3.719489378957082e-4,7.4538865309761165e-6,0.02004008016032064
2020-04-07,Maine,ME,519,12,1341582,43.25,3.8685671095766046e-4,8.944663837171339e-6,0.023121387283236993
2020-04-08,Maine,ME,537,14,1341582,38.357142857142854,4.002737067134174e-4,1.0435441143366563e-5,0.026070763500931102
2020-04-09,Maine,ME,560,16,1341582,35,4.174176457346625e-4,1.1926218449561787e-5,0.02857142857142857
2020-04-10,Maine,ME,586,17,1341582,34.470588235294116,4.367977507152004e-4,1.2671607102659397e-5,0.02901023890784983
2020-04-11,Maine,ME,616,19,1341582,32.421052631578945,4.591594103081288e-4,1.4162384408854621e-5,0.030844155844155847
2020-04-12,Maine,ME,633,19,1341582,33.31578947368421,4.718310174107882e-4,1.4162384408854621e-5,0.030015797788309637
2020-04-13,Maine,ME,698,19,1341582,36.73684210526316,5.20281279862133e-4,1.4162384408854621e-5,0.027220630372492838
2020-04-14,Maine,ME,734,20,1341582,36.7,5.471152713736469e-4,1.4907773061952233e-5,0.02724795640326975
2020-04-15,Maine,ME,770,24,1341582,32.083333333333336,5.739492628851609e-4,1.7889327674342678e-5,0.031168831168831165
2020-04-16,Maine,ME,796,27,1341582,29.48148148148148,5.933293678656988e-4,2.0125493633635515e-5,0.03391959798994975
2020-04-17,Maine,ME,827,29,1341582,28.517241379310345,6.164364161117248e-4,2.1616270939830736e-5,0.03506650544135429
2020-04-18,Maine,ME,847,32,1341582,26.46875,6.313441891736771e-4,2.3852436899123573e-5,0.03778040141676505
2020-04-19,Maine,ME,867,34,1341582,25.5,6.462519622356293e-4,2.5343214205318794e-5,0.0392156862745098
2020-04-20,Maine,ME,875,35,1341582,25,6.522150714604102e-4,2.6088602858416408e-5,0.04
2020-04-21,Maine,ME,888,36,1341582,24.666666666666668,6.619051239506791e-4,2.6833991511514018e-5,0.040540540540540536
2020-04-22,Maine,ME,907,39,1341582,23.256410256410255,6.760675083595338e-4,2.9070157470806852e-5,0.04299889746416759
2020-04-23,Maine,ME,937,44,1341582,21.295454545454547,6.984291679524621e-4,3.2797100736294914e-5,0.04695837780149413
2020-04-24,Maine,ME,965,47,1341582,20.53191489361702,7.193000502391953e-4,3.503326669558775e-5,0.04870466321243523
2020-04-25,Maine,ME,990,50,1341582,19.8,7.379347665666355e-4,3.726943265488058e-5,0.050505050505050504
2020-04-26,Maine,ME,1015,50,1341582,20.3,7.565694828940758e-4,3.726943265488058e-5,0.04926108374384236
2020-04-27,Maine,ME,1023,51,1341582,20.058823529411764,7.625325921188567e-4,3.8014821307978196e-5,0.04985337243401759
2020-04-28,Maine,ME,1040,51,1341582,20.392156862745097,7.752041992215161e-4,3.8014821307978196e-5,0.049038461538461545
2020-04-29,Maine,ME,1056,52,1341582,20.307692307692307,7.871304176710779e-4,3.87602099610758e-5,0.04924242424242425
2020-04-30,Maine,ME,1095,53,1341582,20.660377358490567,8.162005751418847e-4,3.950559861417342e-5,0.048401826484018265
2020-05-01,Maine,ME,1123,55,1341582,20.418181818181818,8.370714574286179e-4,4.099637592036864e-5,0.048975957257346395
2020-05-02,Maine,ME,1152,56,1341582,20.571428571428573,8.586877283684486e-4,4.174176457346625e-5,0.048611111111111105
2020-05-03,Maine,ME,1185,57,1341582,20.789473684210527,8.832855539206698e-4,4.2487153226563865e-5,0.04810126582278481
2020-05-04,Maine,ME,1205,57,1341582,21.140350877192983,8.98193326982622e-4,4.2487153226563865e-5,0.04730290456431535
2020-05-05,Maine,ME,1226,61,1341582,20.098360655737704,9.138464886976718e-4,4.5468707838954306e-5,0.04975530179445351
2020-05-06,Maine,ME,1254,62,1341582,20.225806451612904,9.347173709844049e-4,4.621409649205192e-5,0.049441786283891544
2020-05-07,Maine,ME,1330,62,1341582,21.451612903225808,9.913669086198235e-4,4.621409649205192e-5,0.04661654135338346
2020-05-08,Maine,ME,1374,63,1341582,21.80952380952381,0.0010241640093561185,4.695948514514953e-5,0.04585152838427947
2020-05-09,Maine,ME,1408,64,1341582,22,0.0010495072235614372,4.770487379824715e-5,0.045454545454545456
2020-05-10,Maine,ME,1436,64,1341582,22.4375,0.0010703781058481704,4.770487379824715e-5,0.04456824512534819
2020-05-11,Maine,ME,1462,65,1341582,22.49230769230769,0.0010897582108287081,4.8450262451344754e-5,0.044459644322845424
2020-05-12,Maine,ME,1477,65,1341582,22.723076923076924,0.0011009390406251723,4.8450262451344754e-5,0.044008124576844956
2020-05-13,Maine,ME,1515,66,1341582,22.954545454545453,0.0011292638094428816,4.919565110444237e-5,0.04356435643564357
2020-05-14,Maine,ME,1565,69,1341582,22.681159420289855,0.0011665332420977622,5.14318170637352e-5,0.044089456869009586
2020-05-15,Maine,ME,1603,69,1341582,23.231884057971016,0.0011948580109154715,5.14318170637352e-5,0.043044291952588895
2020-05-16,Maine,ME,1648,70,1341582,23.542857142857144,0.0012284005003048639,5.2177205716832815e-5,0.0424757281553398
2020-05-17,Maine,ME,1687,70,1341582,24.1,0.0012574706577756709,5.2177205716832815e-5,0.04149377593360996
2020-05-18,Maine,ME,1713,71,1341582,24.12676056338028,0.0012768507627562086,5.292259436993042e-5,0.04144775248102744
2020-05-19,Maine,ME,1741,73,1341582,23.84931506849315,0.0012977216450429417,5.441337167612565e-5,0.04192992533026996
2020-05-20,Maine,ME,1819,73,1341582,24.91780821917808,0.0013558619599845555,5.441337167612565e-5,0.04013194062671798
2020-05-21,Maine,ME,1877,73,1341582,25.71232876712329,0.001399094501864217,5.441337167612565e-5,0.038891848694725624
