country,date,cases,deaths,active,recovered
Australia,2020-01-22,0,0,0,0
Australia,2020-01-23,0,0,0,0
Australia,2020-01-24,0,0,0,0
Australia,2020-01-25,0,0,0,0
Australia,2020-01-26,4,0,4,0
Australia,2020-01-27,5,0,5,0
Australia,2020-01-28,5,0,5,0
Australia,2020-01-29,6,0,6,0
Australia,2020-01-30,9,0,7,2
Australia,2020-01-31,9,0,7,2
Australia,2020-02-01,12,0,10,2
Australia,2020-02-02,12,0,10,2
Australia,2020-02-03,12,0,10,2
Australia,2020-02-04,13,0,11,2
Australia,2020-02-05,13,0,11,2
Australia,2020-02-06,14,0,12,2
Australia,2020-02-07,15,0,13,2
Australia,2020-02-08,15,0,13,2
Australia,2020-02-09,15,0,13,2
Australia,2020-02-10,15,0,13,2
Australia,2020-02-11,15,0,13,2
Australia,2020-02-12,15,0,13,2
Australia,2020-02-13,15,0,7,8
Australia,2020-02-14,15,0,7,8
Australia,2020-02-15,15,0,7,8
Australia,2020-02-16,15,0,7,8
Australia,2020-02-17,15,0,5,10
Australia,2020-02-18,15,0,5,10
Australia,2020-02-19,15,0,5,10
Australia,2020-02-20,15,0,5,10
Australia,2020-02-21,15,0,4,11
Australia,2020-02-22,15,0,4,11
Australia,2020-02-23,15,0,4,11
Australia,2020-02-24,15,0,4,11
Australia,2020-02-25,15,0,4,11
Australia,2020-02-26,15,0,4,11
Australia,2020-02-27,15,0,4,11
Australia,2020-02-28,15,0,4,11
Australia,2020-02-29,25,0,14,11
Australia,2020-03-01,27,1,15,11
Australia,2020-03-02,30,1,18,11
Australia,2020-03-03,39,1,27,11
Australia,2020-03-04,52,2,39,11
Australia,2020-03-05,55,2,32,21
Australia,2020-03-06,60,2,37,21
Australia,2020-03-07,63,2,40,21
Australia,2020-03-08,76,3,52,21
Australia,2020-03-09,91,3,67,21
Australia,2020-03-10,107,3,83,21
Australia,2020-03-11,128,3,104,21
Australia,2020-03-12,128,3,104,21
Australia,2020-03-13,200,3,174,23
Australia,2020-03-14,250,3,224,23
Australia,2020-03-15,297,3,271,23
Australia,2020-03-16,377,3,351,23
Australia,2020-03-17,452,5,424,23
Australia,2020-03-18,568,6,539,23
Australia,2020-03-19,681,6,649,26
Australia,2020-03-20,791,7,758,26
Australia,2020-03-21,1071,7,1038,26
Australia,2020-03-22,1549,7,1454,88
Australia,2020-03-23,1682,7,1587,88
Australia,2020-03-24,2044,8,1921,115
Australia,2020-03-25,2364,8,2237,119
Australia,2020-03-26,2810,13,2625,172
Australia,2020-03-27,3143,13,2936,194
Australia,2020-03-28,3640,14,3382,244
Australia,2020-03-29,3984,16,3724,244
Australia,2020-03-30,4361,17,4087,257
Australia,2020-03-31,4559,18,4183,358
Australia,2020-04-01,4862,20,4420,422
Australia,2020-04-02,5116,24,4572,520
Australia,2020-04-03,5330,28,4653,649
Australia,2020-04-04,5550,30,4819,701
Australia,2020-04-05,5687,35,4895,757
Australia,2020-04-06,5797,40,4677,1080
Australia,2020-04-07,5895,45,4770,1080
Australia,2020-04-08,6010,50,4880,1080
Australia,2020-04-09,6108,51,4585,1472
Australia,2020-04-10,6215,54,4368,1793
Australia,2020-04-11,6303,57,4440,1806
Australia,2020-04-12,6315,60,4449,1806
Australia,2020-04-13,6351,61,4484,1806
Australia,2020-04-14,6415,62,4167,2186
Australia,2020-04-15,6440,63,4191,2186
Australia,2020-04-16,6462,63,4044,2355
Australia,2020-04-17,6522,66,2648,3808
Australia,2020-04-18,6568,67,2377,4124
Australia,2020-04-19,6610,67,2419,4124
Australia,2020-04-20,6623,67,2265,4291
